a;0
a;0
a;1
a;1
a;100
a;100
a;103
a;104
a;104
a;105
a;107
a;108
a;108
a;109
a;109
a;110
a;112
a;112
a;113
a;114
a;115
a;117
a;118
a;119
a;119
a;12
a;120
a;122
a;124
a;124
a;125
a;125
a;125
a;125
a;127
a;13
a;132
a;133
a;133
a;135
a;137
a;139
a;141
a;142
a;142
a;143
a;144
a;145
a;146
a;148
a;148
a;149
a;15
a;15
a;150
a;150
a;150
a;151
a;151
a;151
a;151
a;152
a;154
a;155
a;157
a;157
a;158
a;158
a;159
a;16
a;160
a;160
a;162
a;162
a;164
a;164
a;164
a;166
a;167
a;168
a;171
a;173
a;173
a;174
a;174
a;174
a;174
a;176
a;177
a;177
a;179
a;179
a;179
a;181
a;181
a;183
a;183
a;184
a;185
a;186
a;186
a;188
a;189
a;193
a;193
a;194
a;195
a;195
a;195
a;195
a;195
a;195
a;198
a;198
a;199
a;203
a;204
a;205
a;205
a;205
a;206
a;206
a;209
a;21
a;210
a;211
a;211
a;215
a;217
a;218
a;218
a;220
a;221
a;222
a;222
a;224
a;226
a;226
a;228
a;229
a;229
a;230
a;230
a;232
a;232
a;232
a;233
a;234
a;234
a;235
a;236
a;238
a;239
a;239
a;239
a;24
a;24
a;240
a;240
a;241
a;242
a;245
a;251
a;251
a;251
a;252
a;252
a;253
a;254
a;257
a;259
a;26
a;26
a;260
a;261
a;261
a;261
a;262
a;263
a;263
a;263
a;264
a;267
a;271
a;271
a;272
a;272
a;274
a;275
a;278
a;278
a;279
a;281
a;282
a;285
a;288
a;29
a;291
a;291
a;292
a;294
a;295
a;3
a;300
a;300
a;300
a;300
a;301
a;301
a;302
a;302
a;305
a;305
a;306
a;307
a;308
a;311
a;312
a;312
a;314
a;315
a;315
a;318
a;32
a;320
a;320
a;320
a;320
a;321
a;322
a;327
a;329
a;333
a;333
a;334
a;336
a;338
a;34
a;34
a;340
a;342
a;343
a;344
a;344
a;348
a;348
a;349
a;349
a;349
a;35
a;350
a;352
a;353
a;354
a;357
a;357
a;357
a;358
a;358
a;358
a;36
a;36
a;360
a;361
a;363
a;364
a;365
a;367
a;367
a;367
a;368
a;370
a;370
a;370
a;371
a;372
a;372
a;372
a;376
a;376
a;38
a;380
a;380
a;382
a;382
a;383
a;384
a;384
a;386
a;389
a;390
a;391
a;395
a;396
a;399
a;40
a;40
a;40
a;401
a;403
a;404
a;404
a;405
a;405
a;406
a;406
a;407
a;41
a;410
a;410
a;413
a;414
a;416
a;419
a;42
a;42
a;420
a;422
a;423
a;423
a;424
a;424
a;425
a;428
a;428
a;428
a;429
a;430
a;430
a;431
a;432
a;433
a;435
a;436
a;436
a;44
a;440
a;442
a;445
a;446
a;447
a;448
a;448
a;448
a;449
a;449
a;449
a;45
a;452
a;453
a;454
a;454
a;458
a;458
a;459
